"map_label","project_id","project_name","total_project_acres","restored_wetland_acres","short_name","name","previous_land_use","ag_notes","convertedag","meanrunoff_N","meanrunoff_P","SErunoff_N","SErunoff_P","runoff_P25","runoff_P75","runoff_N25","runoff_N75"
1,"M32001","Bright Conservation Area Wetland Restoration Initiative",11,11,"Bright Wetland","BRIC","other","",0,0,0,0,0,0,0,0,0
2,"C18002","Old Station Road",18,18,"Old Station Road","OLDS","other","",0,0,0,0,0,0,0,0,0
4,"W48004","Ottawa National Wildlife Refuge Wetland Reconnection Projects",586,586,"Ottawa NWR","OTTN","no major change in land use","",0,0,0,0,0,0,0,0,0
5,"W62005","Magee Marsh Turtle Creek Bay Wetland Reconnection",173,173,"Magee Marsh","MAGM","other","",0,0,0,0,0,0,0,0,0
6,"M86006","OSU Montpelier Wetland Restoration",98,98,"Montpelier Wetland","MONW","agriculture","",98,3375.58640226629,104.940509915014,279.841359773371,8.74504249291785,43.7252124645892,104.940509915014,1268.03116147309,3681.66288951841
10,"M86010","St. Joseph Confluence Wetland Reconnection",140,140,"St. Joe's Confluence","SJCO","agriculture","Two different land use histories at this site.
""The project area is split between two areas, the approximately 19.5-acre Ag field in the southeast corner, and the 28-acre conservation reserve program prairie (CRP Field) in the northwest corner.""",19.5,671.672804532578,20.8810198300283,55.6827195467422,1.74008498583569,8.70042492917847,20.8810198300283,252.312322946176,732.575779036827
11,"M86011","St. Joseph's River Restoration Project",94,94,"St. Joe's Restoration/Farm & Floodplain","SJRE","agriculture","The St. Joseph’s River Restoration Project was constructed on historically drained agricultural land in 2021",59,2032.24079320113,63.1784702549575,168.475920679887,5.26487252124646,26.3243626062323,63.1784702549575,763.406515580737,2216.51133144476
13,"M48013","Oak Openings Preserve Wetland Restoration",48,48,"Oak Openings Preserve","OOPR","agriculture","The site was a farm field with the last harvest fall of 2020. Crops often grew poorly in some parts of the southwest area of the site because soil was too moist.",30,1033.34277620397,32.1246458923513,85.6657223796034,2.67705382436261,13.385269121813,32.1246458923513,388.172804532578,1127.03966005666
14,"W62014","North Ridge Hunt Club Wetland Restoration",30,30,"North Ridge","NORR","agriculture","In 2021 he had corn planted in the farm field surrounding the wetland. 2022 was a soybean rotation. Not sure when the land was last farmed where the wetland is now. They planted soy beans this year (2023) in the surrounding farm fields.",23,792.229461756374,24.628895184136,65.6770538243626,2.05240793201133,10.2620396600567,24.628895184136,297.599150141643,864.063739376771
15,"W62015","Little Portage Nutrient Reduction & Coastal Wetland Restoration",433,433,"Little Portage","LITP","no major change in land use","",0,0,0,0,0,0,0,0,0
16,"W72016","Redhorse Bend Preserve Wetland Restoration",55,55,"Redhorse Bend","REDB","agriculture","This preserve is 93-acres wide, and formerly an agricultural field bisected by OH-20. 55 acres of this property were converted out of grain production, and into the wetland we see today.",55,1894.46175637394,58.8951841359773,157.053824362606,4.90793201133144,24.5396600566572,58.8951841359773,711.650141643059,2066.23937677054
17,"M63017","Forder Bridge Floodplain Reconnection",54,54,"Forder Bridge","FORB","agriculture","",46.5,1601.68130311615,49.7932011331445,132.781869688385,4.14943342776204,20.7471671388102,49.7932011331445,601.667847025496,1746.91147308782
18,"M20018","Independence Dam Canal Reconnection & Wetland Creation",40,40,"Independence Dam","INDD","other","",0,0,0,0,0,0,0,0,0
19,"M69019","Blanchard River Floodplain Restoration",50,50,"Blanchard River","BLAR","no major change in land use","",0,0,0,0,0,0,0,0,0
