"Project","wateryear","inflow_volume_m3","tp_in_lbs","drp_in_lbs","tn_in_lbs","nox_in_lbs","nh3_in_lbs","tp_out_lbs","drp_out_lbs","tn_out_lbs","nox_out_lbs","nh3_out_lbs","tp_filt_lbs","drp_filt_lbs","tn_filt_lbs","nox_filt_lbs","nh3_filt_lbs","tp_effic","drp_effic","tn_effic","nox_effic","nh3_effic","tp_filt_lbsm3","restored_wetland_acres","total_project_acres","tp_filt_lbs_acre","drp_filt_lbs_acre","tn_filt_lbs_acre","nox_filt_lbs_acre","nh3_filt_lbs_acre","project_code"
"BAUD",2025,301375.2,109.53,58.7,2393.29,1324.35,34.28,59.16,4.3,1529.12,608.7,25.39,50.37,54.4,864.17,715.65,8.89,0.459874007121337,0.926746166950596,0.361080353822562,0.540378298788085,0.259334889148191,0.000167133858393126,12,20,4.1975,4.53333333333333,72.0141666666667,59.6375,0.740833333333333,"BAUD"
"BRIC",2025,77711.7802170374,32.7327146070451,4.30632980793573,767.255846339308,419.013514219515,7.88174417616618,23.5738730536788,2.88883439352313,532.778646755147,256.669597972939,6.62688547844748,9.1588415533663,1.4174954144126,234.477199584161,162.343916246576,1.2548586977187,0.279806965701373,0.329165548769727,0.30560496958464,0.387443150966072,0.159210787570764,0.00011785654025409,11,11,0.832621959396936,0.128863219492055,21.3161090531056,14.7585378405978,0.114078063428973,"BRIC"
"BROP",2023,1185291.29887032,282.777445713282,79.7215330298049,8187.59300056033,5340.84589592621,122.156613306233,258.933757593053,58.7519261905767,4893.43072405673,2503.04001455031,56.6823303187943,23.843688120229,20.9696068392282,3294.1622765036,2837.8058813759,65.4742829874387,0.0843196247850863,0.263035669815688,0.402335860646488,0.531340154101894,0.535986396604677,0.0000201163107693054,5,5,4.76873762404581,4.19392136784564,658.83245530072,567.56117627518,13.0948565974877,"BROP"
"BROP",2024,1214616.1615098,311.842566345517,75.5692744986119,9078.25917750699,6003.53334758575,149.559473211461,252.707982167261,53.8301759379248,4812.65919108478,2222.3338683615,55.1750033203229,59.134584178256,21.7390985606871,4265.59998642221,3781.19947922425,94.3844698911381,0.189629609810021,0.287671129634656,0.469869817882155,0.629829012400641,0.631083192956214,0.0000486858203045398,5,5,11.8269168356512,4.34781971213742,853.119997284442,756.23989584485,18.8768939782276,"BROP"
"BWLK",2023,195394.086618927,174.038278650537,48.8362283401112,8741.1586116056,7473.47614084282,217.133854815491,133.494383849539,24.0156379759488,1395.96019434571,642.339583112933,13.8672154474612,40.543894800998,24.8205903641624,7345.19841725989,6831.13655772989,203.26663936803,0.232959640346758,0.508241344751356,0.840300324433846,0.91405076151879,0.936135175883812,0.000207498064565638,27,90,1.5016257333703,0.919281124598607,272.04438582444,253.0050576937,7.52839405066777,"BWLK"
"BWLK",2024,438735.165765894,454.515605092168,178.968428163539,9153.95875975381,6862.098377983,162.912097717411,216.198415775003,58.8563904918753,3640.72940634811,1885.81219705159,162.629127906845,238.317189317165,120.112037671664,5513.2293534057,4976.28618093141,0.282969810565987,0.524332248765889,0.671135344396649,0.602278150699684,0.725184325088925,0.00173694780517055,0.000543191446487172,27,90,8.82656256730241,4.4485939878394,204.193679755767,184.306895590052,0.0104803633542958,"BWLK"
"BWLK",2025,177637.231219227,184.050761920083,75.9663308178453,7901.13970016314,6238.60106309841,42.0178792862668,98.2804487031265,18.6642757711827,2274.45953972431,1435.66449196358,47.3759268073346,85.7703132169565,57.3020550466626,5626.68016043883,4802.93657113483,-5.3580475210678,0.466014442549273,0.754308578942209,0.712135258198593,0.769873970551572,-0.127518275840709,0.00048283973257332,27,90,3.17667826729469,2.12229833506158,208.395561497734,177.88653967166,-0.198446204483993,"BWLK"
"EFLA",2024,867904.4,2268.8,346.8,6289.6,1422.7,264.7,535.9,224.9,2902.1,775.4,137.9,1732.9,121.9,3387.5,647.3,126.8,0.763795839210155,0.351499423298731,0.538587509539557,0.454979967667112,0.479032867397053,0.00199664847879559,3.5,10,495.114285714286,34.8285714285714,967.857142857143,184.942857142857,36.2285714285714,"EFLA"
"EFLA",2025,1434010.218,2323.319789,464.9991574,5585.24445,1528.724872,126.0871796,1712.057331,404.1373972,4207.682021,1330.76084,200.7375327,611.262458,60.8617602,1377.562429,197.964032,-74.6503531,0.263098718004334,0.130885742977047,0.246643175841659,0.12949618052659,-0.592053477100696,0.000426260880380979,3.5,10,174.646416571429,17.3890743428571,393.589265428572,56.561152,-21.3286723142857,"EFLA"
"FORB",2023,15657.1199442899,48.7688173664392,2.126750061946,168.316369175915,85.2162897159677,0.982586744807936,36.8045057513207,2.39237717072118,139.28304124091,82.6550500152398,0.815032948376827,11.9643116151185,-0.26562710877518,29.033327935005,2.56123970072791,0.167553796431109,0.245327081139185,-0.124898131439163,0.172492598771905,0.0300557523598447,0.170523159727603,0.000764145108275922,5,54,2.3928623230237,-0.0531254217550361,5.806665587001,0.512247940145582,0.0335107592862218,"FORB"
