"Project","wateryear","month","inflow_volume_m3","outflow_volume_m3","tp_in_lbs","drp_in_lbs","tn_in_lbs","nox_in_lbs","nh3_in_lbs","tp_out_lbs","drp_out_lbs","tn_out_lbs","nox_out_lbs","nh3_out_lbs","tp_filt_lbs","drp_filt_lbs","tn_filt_lbs","nox_filt_lbs","nh3_filt_lbs","tp_in_mgL","tn_in_mgL","tp_out_mgL","tn_out_mgL","drp_in_mgL","nox_in_mgL","nh3_in_mgL","tp_diff_mgL","tn_diff_mgL","loginflow","logtpfilt","logtpin"
"BAUD",2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"BAUD",2025,2,22518.11,21146.14,7.55,2.14,284.06,176.44,2.76,6.1,0.7,170.18,80.38,3.78,1.45,1.44,113.88,96.06,-1.02,0.152085588000059,5.72204399037042,0.130849412706054,3.65048410726497,0.0431077030887583,3.55416968830865,0.0555968507126042,0.0212361752940045,5.59119457766436,4.3525319363118,0.161368002234975,0.877946951629188
"BAUD",2025,3,38324.58,31898.28,15.78,5.85,479.75,377.63,1.38,12.02,1.2,306.98,198.48,2.43,3.76,4.65,172.77,179.15,-1.05,0.186768074170676,5.67819921314206,0.170926833672537,4.36531775380992,0.0692391149492049,4.46953281679799,0.0163333296803253,0.0158412404981393,5.50727237946952,4.58347740410875,0.575187844927661,1.1981069988734
"BAUD",2025,4,92868.09,85138.98,36.16,12.61,869.17,453.05,10.68,24.68,0.53,581.27,227.08,6.21,11.48,12.08,287.9,225.97,4.47,0.176617996558344,4.2453280992427,0.131489101701712,3.09686669960105,0.0615916188219226,2.21285352159175,0.052164828629511,0.0451288948566325,4.11383899754099,4.96786651358948,1.05994188806195,1.55822842180333
"BAUD",2025,5,52338.02,44327.12,16.64,13.86,327.19,123.18,6.25,4.84,0.77,237.91,69.08,4.62,11.8,13.09,89.28,54.1,1.63,0.144214549958138,2.83567058899057,0.0495277834427321,2.43453614852488,0.120121013366574,1.06756900624059,0.0541671236321129,0.0946867665154054,2.78614280554783,4.71881728881706,1.07188200730613,1.22115332195471
"BAUD",2025,6,18835.62,7645.34,7.91,7.32,148.49,74.21,5.7,4.44,0.5,50.07,11.11,2.28,3.47,6.82,98.42,63.1,3.42,0.19048887161665,3.57594090345845,0.263426348599277,2.9706660527851,0.176280472848783,1.78712758061588,0.137267581316676,-0.0729374769826278,3.31251455485917,4.27497992016696,0.540329474790874,0.898176483497677
"BAUD",2025,7,26497.49,16132.32,12.21,7.64,179.82,81.51,2.77,3.86,0.34,88.85,21.67,4.3,8.35,7.3,90.97,59.84,-1.53,0.209018137189598,3.07826711133772,0.108533428545925,2.49823707935374,0.13078612351585,1.39533729421164,0.0474185290757728,0.100484708643673,2.96973368279179,4.42320473692634,0.921686475483602,1.08671566394488
"BAUD",2025,8,22730.6,13588.02,7.44,3.87,47.1,6.34,2.68,1.73,0.06,32.85,0.36,0.49,5.71,3.81,14.25,5.98,2.19,0.148468760173511,0.939903038195208,0.0577514604776855,1.09661010213409,0.0772277018644471,0.126517733803771,0.0534806824280925,0.0907172996958251,0.882151577717523,4.35661089957231,0.756636108245848,0.871572935545879
"BAUD",2025,9,27262.69,20281.74,5.84,5.41,57.71,31.99,2.06,1.49,0.2,61.01,0.54,1.28,4.35,5.21,-3.3,31.45,0.78,0.0971666405626151,0.960186100491184,0.0333237680790701,1.36448529564031,0.090012247507491,0.532253567054462,0.0342745341710594,0.0638428724835449,0.926862332412114,4.43556870529612,0.638489256954637,0.766412847112399
"BAUD",2025,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"BAUD",2025,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"BAUD",2025,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"BRIC",2025,1,6146.08029674586,7715.28272856263,1.6667986287809,0.10221182439135,30.6401980756431,13.9726557882008,0.281710395464921,1.91400664846592,0.100330301590213,37.9258806476678,17.7659745428446,0.34764605562559,-0.24720801968502,0.001881522801137,-7.2856825720247,-3.7933187546438,-0.065935660160669,0.123014965882454,2.26134270560546,0.112529047384099,2.22975360294892,0.00754355317623561,1.03122581540037,0.0207911106287605,0.0104859184983557,2.14881365822136,3.78859822988812,NA,0.221883134505943
